https://www.random.org/integers/?num=90&min=1&max=100&col=1&base=10&format=plain&rnd=date.2021-02-20
35,20,68,87,3,98,79,9,44,35,73,93,4,27,52,70,23,19,88,13,97,46,10,24,1,85,38,75,36,24,27,88,3,5,21,13,44,38,82,7,73,8,73,44,45,2,21,71,83,37,52,93,27,39,36,84,54,49,58,61,86,20,89,23,96,28,15,100,59,72,56,94,13,94,68,98,83,82,3,94,85,46,72,76,54,82,8,70,63,69

1,2,3,4,5,6,7,8,9,10
0,35,20,68,87,3,98,79,9,44
35,0,73,93,4,27,52,70,23,19
88,13,0,97,46,10,24,1,85,38
75,36,24,0,27,88,3,5,21,13
44,38,82,7,0,73,8,73,44,45
2,21,71,83,37,0,52,93,27,39
36,84,54,49,58,61,0,86,20,89
23,96,28,15,100,59,72,0,56,94
13,94,68,98,83,82,3,94,0,85
46,72,76,54,82,8,70,63,69,0
