https://www.random.org/integers/?num=90&min=1&max=10000&col=1&base=10&format=plain&rnd=date.2021-02-20
2500,5606,4425,3380,8855,2392,1633,5770,85,4811,4504,261,1580,1022,9339,5549,149,9043,6621,3367,4564,6202,7766,2521,1892,7496,5832,9654,8895,9827,2743,7031,9493,2504,1109,9746,803,482,5311,7443,6180,146,3833,6208,4240,9533,5859,3088,7194,8357,2318,5360,8539,3636,1545,952,9100,5607,4664,1206,9937,1900,5232,3347,9699,2573,3994,1839,5449,4974,4642,4799,4768,3347,6128,7160,2463,7075,9449,4277,6503,2364,7672,8598,6321,8754,6010,5007,1820,573,

1,2,3,4,5,6,7,8,9,10
0,2500,5606,4425,3380,8855,2392,1633,5770,85
4811,0,4504,261,1580,1022,9339,5549,149,9043
6621,3367,0,4564,6202,7766,2521,1892,7496,5832
9654,8895,9827,0,2743,7031,9493,2504,1109,9746
803,482,5311,7443,0,6180,146,3833,6208,4240
9533,5859,3088,7194,8357,0,2318,5360,8539,3636
1545,952,9100,5607,4664,1206,0,9937,1900,5232
3347,9699,2573,3994,1839,5449,4974,0,4642,4799
4768,3347,6128,7160,2463,7075,9449,4277,0,6503
2364,7672,8598,6321,8754,6010,5007,1820,573,0
