https://www.random.org/integers/?num=380&min=1&max=1000&col=1&base=10&format=plain&rnd=date.2021-02-20
995,138,783,705,754,543,975,534,918,83,185,52,308,554,394,349,409,91,160,24,6,275,810,102,975,429,600,17,312,593,395,989,603,135,949,516,287,599,705,149,566,179,658,632,53,613,468,996,345,230,918,296,400,23,762,712,398,850,973,892,653,749,241,843,545,700,326,712,604,361,543,176,724,74,611,172,430,191,480,169,423,887,805,998,81,626,930,924,702,959,517,339,389,421,289,803,31,115,558,304,629,300,741,387,193,583,880,475,868,761,388,977,575,336,92,548,16,450,609,657,580,340,766,699,534,655,205,387,171,65,952,885,292,558,378,585,882,182,622,8,430,284,821,298,483,161,784,616,239,797,748,361,341,562,262,220,329,533,703,298,974,74,508,880,883,415,746,860,652,585,432,394,233,268,309,550,602,680,259,316,480,482,600,939,99,781,955,548,88,486,228,541,447,516,36,829,660,671,121,628,946,112,7,754,950,76,739,648,805,67,569,978,914,881,635,693,580,335,52,870,913,42,853,59,605,129,545,432,351,909,887,955,124,267,814,66,422,560,737,196,827,279,207,276,304,985,72,538,382,236,334,857,461,969,599,584,543,598,193,568,876,141,595,945,733,974,13,396,445,677,750,508,38,299,810,575,960,370,231,963,386,149,662,673,442,412,720,75,421,345,180,58,244,638,856,781,601,337,993,163,618,516,99,134,309,235,118,809,261,622,546,713,810,236,547,349,557,430,972,786,262,114,965,944,918,70,265,594,113,273,881,179,291,947,82,417,993,315,70,385,404,187,472,535,691,739,917,66,850,990,423,825,947,293,806,694,432,322,239,125,350,712,649,868,122,349,708,142,226,455,376,93,574,841,179,119,538,78,464,188,

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,995,138,783,705,754,543,975,534,918,83,185,52,308,554,394,349,409,91,160
24,0,6,275,810,102,975,429,600,17,312,593,395,989,603,135,949,516,287,599
705,149,0,566,179,658,632,53,613,468,996,345,230,918,296,400,23,762,712,398
850,973,892,0,653,749,241,843,545,700,326,712,604,361,543,176,724,74,611,172
430,191,480,169,0,423,887,805,998,81,626,930,924,702,959,517,339,389,421,289
803,31,115,558,304,0,629,300,741,387,193,583,880,475,868,761,388,977,575,336
92,548,16,450,609,657,0,580,340,766,699,534,655,205,387,171,65,952,885,292
558,378,585,882,182,622,8,0,430,284,821,298,483,161,784,616,239,797,748,361
341,562,262,220,329,533,703,298,0,974,74,508,880,883,415,746,860,652,585,432
394,233,268,309,550,602,680,259,316,0,480,482,600,939,99,781,955,548,88,486
228,541,447,516,36,829,660,671,121,628,0,946,112,7,754,950,76,739,648,805
67,569,978,914,881,635,693,580,335,52,870,0,913,42,853,59,605,129,545,432
351,909,887,955,124,267,814,66,422,560,737,196,0,827,279,207,276,304,985,72
538,382,236,334,857,461,969,599,584,543,598,193,568,0,876,141,595,945,733,974
13,396,445,677,750,508,38,299,810,575,960,370,231,963,0,386,149,662,673,442
412,720,75,421,345,180,58,244,638,856,781,601,337,993,163,0,618,516,99,134
309,235,118,809,261,622,546,713,810,236,547,349,557,430,972,786,0,262,114,965
944,918,70,265,594,113,273,881,179,291,947,82,417,993,315,70,385,0,404,187
472,535,691,739,917,66,850,990,423,825,947,293,806,694,432,322,239,125,0,350
712,649,868,122,349,708,142,226,455,376,93,574,841,179,119,538,78,464,188,0
