https://www.random.org/integers/?num=870&min=1&max=1000&col=1&base=10&format=plain&rnd=date.2021-02-20
995,138,783,705,754,543,975,534,918,83,185,52,308,554,394,349,409,91,160,24,6,275,810,102,975,429,600,17,312,593,395,989,603,135,949,516,287,599,705,149,566,179,658,632,53,613,468,996,345,230,918,296,400,23,762,712,398,850,973,892,653,749,241,843,545,700,326,712,604,361,543,176,724,74,611,172,430,191,480,169,423,887,805,998,81,626,930,924,702,959,517,339,389,421,289,803,31,115,558,304,629,300,741,387,193,583,880,475,868,761,388,977,575,336,92,548,16,450,609,657,580,340,766,699,534,655,205,387,171,65,952,885,292,558,378,585,882,182,622,8,430,284,821,298,483,161,784,616,239,797,748,361,341,562,262,220,329,533,703,298,974,74,508,880,883,415,746,860,652,585,432,394,233,268,309,550,602,680,259,316,480,482,600,939,99,781,955,548,88,486,228,541,447,516,36,829,660,671,121,628,946,112,7,754,950,76,739,648,805,67,569,978,914,881,635,693,580,335,52,870,913,42,853,59,605,129,545,432,351,909,887,955,124,267,814,66,422,560,737,196,827,279,207,276,304,985,72,538,382,236,334,857,461,969,599,584,543,598,193,568,876,141,595,945,733,974,13,396,445,677,750,508,38,299,810,575,960,370,231,963,386,149,662,673,442,412,720,75,421,345,180,58,244,638,856,781,601,337,993,163,618,516,99,134,309,235,118,809,261,622,546,713,810,236,547,349,557,430,972,786,262,114,965,944,918,70,265,594,113,273,881,179,291,947,82,417,993,315,70,385,404,187,472,535,691,739,917,66,850,990,423,825,947,293,806,694,432,322,239,125,350,712,649,868,122,349,708,142,226,455,376,93,574,841,179,119,538,78,464,188,885,67,877,598,910,360,420,777,831,419,456,353,444,946,584,353,547,360,84,874,54,978,464,112,446,866,898,914,17,215,477,138,145,478,30,936,37,121,116,542,555,744,143,372,628,108,174,298,427,4,666,717,857,46,464,932,672,713,730,638,406,805,420,795,930,482,457,189,718,898,64,454,432,966,147,585,202,539,154,999,680,86,289,770,748,553,972,433,468,804,446,929,27,21,593,297,613,212,791,145,647,778,706,413,515,986,23,436,106,1000,319,255,937,238,621,824,316,267,214,112,666,722,548,226,128,157,590,167,251,148,967,362,778,17,91,715,130,105,135,468,107,833,279,671,32,237,685,934,607,370,100,316,103,335,603,391,126,852,458,910,662,709,227,160,105,285,63,42,975,298,404,376,806,895,142,28,813,273,417,981,162,480,364,990,636,318,856,32,282,715,902,681,826,460,335,963,712,618,705,492,883,889,38,900,437,541,877,788,667,841,143,392,431,843,667,67,107,206,927,166,819,111,729,363,229,969,257,930,911,665,443,984,492,932,5,984,700,864,171,546,28,673,947,47,714,521,168,358,925,317,16,436,685,571,81,343,979,455,681,166,698,317,725,660,833,810,791,281,459,306,359,855,187,571,601,392,480,238,628,819,292,541,552,845,371,61,264,652,463,934,709,472,738,974,652,673,372,944,703,946,304,310,649,494,103,333,592,225,427,872,462,779,465,499,847,817,814,783,938,889,232,23,89,755,550,390,806,940,27,830,876,556,578,252,306,861,261,115,821,396,807,742,717,810,561,987,204,263,950,159,809,315,778,380,20,318,673,638,31,35,254,267,498,773,517,375,442,538,70,333,12,653,131,331,319,117,477,920,131,308,451,444,768,533,60,12,703,132,217,766,604,829,60,60,607,997,37,426,10,723,877,69,822,727,653,305,652,987,32,174,40,28,156,985,963,684,319,290,395,272,180,736,178,735,375,180,638,747,253,932,939,512,31,935,334,413,56,639,690,749,215,136,595,676,469,786,979,20,526,894,762,25,26,12,925,414,842,449,989,284,560,437,472,477,463,692,517,704,114,965,317,640,136,109,715,807,81,813,297,651,712,46,216,5,141,318,735,904,845,620,

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,995,138,783,705,754,543,975,534,918,83,185,52,308,554,394,349,409,91,160,24,6,275,810,102,975,429,600,17,312
593,0,395,989,603,135,949,516,287,599,705,149,566,179,658,632,53,613,468,996,345,230,918,296,400,23,762,712,398,850
973,892,0,653,749,241,843,545,700,326,712,604,361,543,176,724,74,611,172,430,191,480,169,423,887,805,998,81,626,930
924,702,959,0,517,339,389,421,289,803,31,115,558,304,629,300,741,387,193,583,880,475,868,761,388,977,575,336,92,548
16,450,609,657,0,580,340,766,699,534,655,205,387,171,65,952,885,292,558,378,585,882,182,622,8,430,284,821,298,483
161,784,616,239,797,0,748,361,341,562,262,220,329,533,703,298,974,74,508,880,883,415,746,860,652,585,432,394,233,268
309,550,602,680,259,316,0,480,482,600,939,99,781,955,548,88,486,228,541,447,516,36,829,660,671,121,628,946,112,7
754,950,76,739,648,805,67,0,569,978,914,881,635,693,580,335,52,870,913,42,853,59,605,129,545,432,351,909,887,955
124,267,814,66,422,560,737,196,0,827,279,207,276,304,985,72,538,382,236,334,857,461,969,599,584,543,598,193,568,876
141,595,945,733,974,13,396,445,677,0,750,508,38,299,810,575,960,370,231,963,386,149,662,673,442,412,720,75,421,345
180,58,244,638,856,781,601,337,993,163,0,618,516,99,134,309,235,118,809,261,622,546,713,810,236,547,349,557,430,972
786,262,114,965,944,918,70,265,594,113,273,0,881,179,291,947,82,417,993,315,70,385,404,187,472,535,691,739,917,66
850,990,423,825,947,293,806,694,432,322,239,125,0,350,712,649,868,122,349,708,142,226,455,376,93,574,841,179,119,538
78,464,188,885,67,877,598,910,360,420,777,831,419,0,456,353,444,946,584,353,547,360,84,874,54,978,464,112,446,866
898,914,17,215,477,138,145,478,30,936,37,121,116,542,0,555,744,143,372,628,108,174,298,427,4,666,717,857,46,464
932,672,713,730,638,406,805,420,795,930,482,457,189,718,898,0,64,454,432,966,147,585,202,539,154,999,680,86,289,770
748,553,972,433,468,804,446,929,27,21,593,297,613,212,791,145,0,647,778,706,413,515,986,23,436,106,1000,319,255,937
238,621,824,316,267,214,112,666,722,548,226,128,157,590,167,251,148,0,967,362,778,17,91,715,130,105,135,468,107,833
279,671,32,237,685,934,607,370,100,316,103,335,603,391,126,852,458,910,0,662,709,227,160,105,285,63,42,975,298,404
376,806,895,142,28,813,273,417,981,162,480,364,990,636,318,856,32,282,715,0,902,681,826,460,335,963,712,618,705,492
883,889,38,900,437,541,877,788,667,841,143,392,431,843,667,67,107,206,927,166,0,819,111,729,363,229,969,257,930,911
665,443,984,492,932,5,984,700,864,171,546,28,673,947,47,714,521,168,358,925,317,0,16,436,685,571,81,343,979,455
681,166,698,317,725,660,833,810,791,281,459,306,359,855,187,571,601,392,480,238,628,819,0,292,541,552,845,371,61,264
652,463,934,709,472,738,974,652,673,372,944,703,946,304,310,649,494,103,333,592,225,427,872,0,462,779,465,499,847,817
814,783,938,889,232,23,89,755,550,390,806,940,27,830,876,556,578,252,306,861,261,115,821,396,0,807,742,717,810,561
987,204,263,950,159,809,315,778,380,20,318,673,638,31,35,254,267,498,773,517,375,442,538,70,333,0,12,653,131,331
319,117,477,920,131,308,451,444,768,533,60,12,703,132,217,766,604,829,60,60,607,997,37,426,10,723,0,877,69,822
727,653,305,652,987,32,174,40,28,156,985,963,684,319,290,395,272,180,736,178,735,375,180,638,747,253,932,0,939,512
31,935,334,413,56,639,690,749,215,136,595,676,469,786,979,20,526,894,762,25,26,12,925,414,842,449,989,284,0,560
437,472,477,463,692,517,704,114,965,317,640,136,109,715,807,81,813,297,651,712,46,216,5,141,318,735,904,845,620,0
