Best Solution Found: (1613)
01 02 03 32 31 30 25 43 24 23 19 17 18 16 13 14 44 12 11 15 22 20 21 08 10 09 41 42 07 40 36 33 29 26 27 28 34 35 37 38 39 45 04 05 06 01

01 02 = 26
02 03 = 20
03 32 = 37
32 31 = 8
31 30 = 20
30 25 = 36
25 43 = 68
43 24 = 27
24 23 = 19
23 19 = 60
19 17 = 114
17 18 = 9
18 16 = 42
16 13 = 69
13 14 = 11
14 44 = 57
44 12 = 7
12 11 = 20
11 15 = 33
15 22 = 29
22 20 = 25
20 21 = 28
21 08 = 60
08 10 = 34
10 09 = 31
09 41 = 70
41 42 = 62
42 07 = 22
07 40 = 51
40 36 = 56
36 33 = 15
33 29 = 31
29 26 = 36
26 27 = 19
27 28 = 67
28 34 = 59
34 35 = 50
35 37 = 30
37 38 = 26
38 39 = 34
39 45 = 14
45 04 = 8
04 05 = 30
05 06 = 16
06 01 = 27
